"dt","adCategory","network","revenue","impression"
"2026-08-27","display","Adforus",316377,96160
"2026-08-27","reward","BuzzvilS2S",230115.4,0
"2026-08-27","rc","RC",30057,0
"2026-08-27","adTicket","Adforus",947,337
"2026-08-27","adTicket","AdCash",0,0
"2026-08-27","display","AdCash",0,0
"2026-08-27","display","BuzzvilS2S",0,0
"2026-08-27","adTicket","BuzzvilS2S",0,0
"2026-08-26","reward","BuzzvilS2S",237712.8,0
"2026-08-26","display","Adforus",196295,64037
"2026-08-26","rc","RC",55262.62,0
"2026-08-26","display","Adpopcorn",9261,0
"2026-08-26","adTicket","Adforus",714,226
"2026-08-26","adTicket","Adpopcorn",12,0
"2026-08-26","display","BuzzvilS2S",0,0
"2026-08-26","display","AdCash",0,0
"2026-08-26","adTicket","BuzzvilS2S",0,0
"2026-08-26","adTicket","AdCash",0,0
"2026-08-25","reward","BuzzvilS2S",240281.41,0
"2026-08-25","display","Adforus",177871,59635
"2026-08-25","display","Adpopcorn",113512,0
"2026-08-25","rc","RC",100141.18,0
"2026-08-25","display","AdCash",8854,30459
"2026-08-25","adTicket","Adforus",649,237
"2026-08-25","adTicket","Adpopcorn",148,0
"2026-08-25","adTicket","BuzzvilS2S",0,0
"2026-08-25","display","BuzzvilS2S",0,0
"2026-08-25","adTicket","AdCash",0,0
"2026-08-24","reward","BuzzvilS2S",239890.49,0
"2026-08-24","display","Adpopcorn",162062,0
"2026-08-24","display","Adforus",153644,52361
"2026-08-24","rc","RC",82638.4,0
"2026-08-24","display","AdCash",9735,29794
"2026-08-24","adTicket","Adforus",558,215
"2026-08-24","adTicket","Adpopcorn",238,0
"2026-08-24","display","BuzzvilS2S",0,0
"2026-08-24","adTicket","BuzzvilS2S",0,0
"2026-08-24","adTicket","AdCash",0,0
"2026-08-23","reward","BuzzvilS2S",245588.56,0
"2026-08-23","display","Adpopcorn",190698,0
"2026-08-23","display","Adforus",133105,44400
"2026-08-23","rc","RC",85158.55,0
"2026-08-23","display","AdCash",9701,31320
"2026-08-23","adTicket","Adforus",519,167
"2026-08-23","adTicket","Adpopcorn",267,0
"2026-08-23","display","BuzzvilS2S",0,0
"2026-08-23","adTicket","BuzzvilS2S",0,0
"2026-08-23","adTicket","AdCash",0,0
"2026-08-22","reward","BuzzvilS2S",239584.37,0
"2026-08-22","display","Adpopcorn",164844,0
"2026-08-22","display","Adforus",124704,41453
"2026-08-22","rc","RC",81174.11,0
"2026-08-22","display","AdCash",10674,30946
"2026-08-22","adTicket","Adforus",441,196
"2026-08-22","adTicket","Adpopcorn",269,0
"2026-08-22","adTicket","AdCash",0,0
"2026-08-22","adTicket","BuzzvilS2S",0,0
"2026-08-22","display","BuzzvilS2S",0,0
"2026-08-21","reward","BuzzvilS2S",229069.8,0
"2026-08-21","display","Adforus",162785,55934
"2026-08-21","display","Adpopcorn",103615,0
"2026-08-21","rc","RC",84712.75,0
"2026-08-21","display","AdCash",8559,29279
"2026-08-21","adTicket","Adforus",532,229
"2026-08-21","adTicket","Adpopcorn",162,0
"2026-08-21","adTicket","AdCash",0,0
"2026-08-21","adTicket","BuzzvilS2S",0,0
"2026-08-21","display","BuzzvilS2S",0,0
"2026-08-20","reward","BuzzvilS2S",269985.36,0
"2026-08-20","display","Adpopcorn",159503,0
"2026-08-20","display","Adforus",126483,41746
"2026-08-20","rc","RC",77596.92,0
"2026-08-20","display","AdCash",8581,31734
"2026-08-20","adTicket","Adforus",428,161
"2026-08-20","adTicket","Adpopcorn",206,0
"2026-08-20","adTicket","AdCash",0,0
"2026-08-20","adTicket","BuzzvilS2S",0,0
"2026-08-20","display","BuzzvilS2S",0,0
"2026-08-19","reward","BuzzvilS2S",281702.37,0
"2026-08-19","display","Adpopcorn",147104,0
"2026-08-19","display","Adforus",119914,39336
"2026-08-19","rc","RC",77473.88,0
"2026-08-19","display","AdCash",10948,31744
"2026-08-19","adTicket","Adforus",363,160
"2026-08-19","adTicket","Adpopcorn",246,0
"2026-08-19","adTicket","BuzzvilS2S",0,0
"2026-08-19","adTicket","AdCash",0,0
"2026-08-19","display","BuzzvilS2S",0,0
"2026-08-18","reward","BuzzvilS2S",272845.21,0
"2026-08-18","display","Adpopcorn",185768,0
"2026-08-18","display","Adforus",129275,42837
"2026-08-18","rc","RC",79789.6,0
"2026-08-18","display","AdCash",8289,28706
"2026-08-18","adTicket","Adforus",558,166
"2026-08-18","adTicket","Adpopcorn",290,0
"2026-08-18","adTicket","BuzzvilS2S",0,0
"2026-08-18","adTicket","AdCash",0,0
"2026-08-18","display","BuzzvilS2S",0,0
"2026-08-17","reward","BuzzvilS2S",282008.83,0
"2026-08-17","display","Adpopcorn",133526,0
"2026-08-17","display","Adforus",110708,37922
"2026-08-17","rc","RC",83400.82,0
"2026-08-17","display","AdCash",8706,30570
"2026-08-17","adTicket","Adforus",350,154
"2026-08-17","adTicket","Adpopcorn",248,0
"2026-08-17","adTicket","AdCash",0,0
"2026-08-17","adTicket","BuzzvilS2S",0,0
"2026-08-17","display","BuzzvilS2S",0,0
"2026-08-16","reward","BuzzvilS2S",295580.46,0
"2026-08-16","display","Adpopcorn",121349,0
"2026-08-16","rc","RC",106686.52,0
"2026-08-16","display","Adforus",105489,35723
"2026-08-16","display","AdCash",8152,29414
"2026-08-16","adTicket","Adforus",298,118
"2026-08-16","adTicket","Adpopcorn",193,0
"2026-08-16","adTicket","AdCash",0,0
"2026-08-16","adTicket","BuzzvilS2S",0,0
"2026-08-16","display","BuzzvilS2S",0,0
"2026-08-15","reward","BuzzvilS2S",269105.43,0
"2026-08-15","display","Adpopcorn",123393,0
"2026-08-15","display","Adforus",111033,42829
"2026-08-15","rc","RC",73464.9,0
"2026-08-15","display","AdCash",8683,28410
"2026-08-15","adTicket","Adforus",350,142
"2026-08-15","adTicket","Adpopcorn",245,0
"2026-08-15","display","BuzzvilS2S",0,0
"2026-08-15","adTicket","BuzzvilS2S",0,0
"2026-08-15","adTicket","AdCash",0,0
"2026-08-14","reward","BuzzvilS2S",264831.41,0
